ticket_id,customer_id,product_id,created_date,issue_category,issue_type,priority,contact_channel,first_response_hours,resolution_hours,ticket_status,customer_satisfaction_score,sla_breached_flag,customer_comment
TKT000001,C002,P002,2026-01-06,Delivery,Late Delivery,Medium,Chat,4,13,Resolved,3.7,No,Standard support request
TKT000002,C003,P003,2026-01-11,Payment,Payment Failed,High,Phone,7,23,Resolved,4.4,No,Standard support request
TKT000003,C004,P004,2026-01-16,Account,Login Issue,Medium,Web,10,33,Resolved,3.0,No,Standard support request
TKT000004,C005,P005,2026-01-21,Product Information,Wrong Specification,Medium,Email,13,43,Resolved,3.7,No,Standard support request
TKT000005,C006,P006,2026-01-26,Refund,Refund Pending,High,Chat,16,53,Resolved,4.4,Yes,Standard support request
TKT000006,C007,P007,2026-01-31,Technical,App Error,High,Phone,1,45,Resolved,3.0,No,Standard support request
TKT000007,C008,P008,2026-02-05,Order,Order Cancellation,Low,Web,4,55,Resolved,3.7,Yes,Standard support request
TKT000008,C009,P009,2026-02-10,Product Quality,Defective Product,High,Email,7,65,Resolved,4.4,Yes,Standard support request
TKT000009,C010,P010,2026-02-15,Delivery,Late Delivery,Medium,Chat,10,75,Resolved,3.0,Yes,Standard support request
TKT000010,C011,P011,2026-02-20,Payment,Payment Failed,High,Phone,13,85,Resolved,3.7,Yes,Standard support request
TKT000011,C012,P012,2026-02-25,Account,Login Issue,Medium,Web,16,23,Resolved,4.4,No,Standard support request
TKT000012,C013,P001,2026-03-02,Product Information,Wrong Specification,Medium,Email,1,15,Resolved,3.0,No,Standard support request
TKT000013,C014,P002,2026-03-07,Refund,Refund Pending,High,Chat,4,25,Open,3.7,No,Standard support request
TKT000014,C015,P003,2026-03-12,Technical,App Error,High,Phone,7,35,Resolved,4.4,No,Standard support request
TKT000015,C001,P004,2026-03-17,Order,Order Cancellation,Low,Web,10,45,Resolved,3.0,No,Standard support request
TKT000016,C002,P005,2026-03-22,Product Quality,Defective Product,High,Email,13,55,Resolved,3.7,Yes,Standard support request
TKT000017,C003,P006,2026-03-27,Delivery,Late Delivery,Medium,Chat,16,65,Resolved,4.4,Yes,Standard support request
TKT000018,C004,P007,2026-04-01,Payment,Payment Failed,High,Phone,1,57,Resolved,3.0,Yes,Standard support request
TKT000019,C005,P008,2026-04-06,Account,Login Issue,Medium,Web,4,67,Resolved,3.7,Yes,Standard support request
TKT000020,C006,P009,2026-04-11,Product Information,Wrong Specification,Medium,Email,7,77,Resolved,4.4,Yes,Standard support request
TKT000021,C007,P010,2026-04-16,Refund,Refund Pending,High,Chat,10,15,Resolved,3.0,No,Standard support request
TKT000022,C008,P011,2026-04-21,Technical,App Error,High,Phone,13,25,Resolved,3.7,No,Standard support request
TKT000023,C009,P012,2026-04-26,Order,Order Cancellation,Low,Web,16,35,Resolved,4.4,No,Standard support request
TKT000024,C010,P001,2026-05-01,Product Quality,Defective Product,High,Email,1,27,Resolved,3.0,No,Standard support request
TKT000025,C011,P002,2026-05-06,Delivery,Late Delivery,Medium,Chat,4,37,Resolved,3.7,No,Standard support request
TKT000026,C012,P003,2026-05-11,Payment,Payment Failed,High,Phone,7,47,Open,4.4,No,Standard support request
TKT000027,C013,P004,2026-05-16,Account,Login Issue,Medium,Web,10,57,Resolved,3.0,Yes,Standard support request
TKT000028,C014,P005,2026-05-21,Product Information,Wrong Specification,Medium,Email,13,67,Resolved,3.7,Yes,Standard support request
TKT000029,C015,P006,2026-05-26,Refund,Refund Pending,High,Chat,16,125,Resolved,3.2,Yes,Customer reported repeated issue
TKT000030,C001,P007,2026-05-31,Technical,App Error,High,Phone,1,69,Resolved,3.0,Yes,Standard support request
TKT000031,C002,P008,2026-06-05,Order,Order Cancellation,Low,Web,4,7,Resolved,3.7,No,Standard support request
TKT000032,C003,P009,2026-06-10,Product Quality,Defective Product,High,Email,7,17,Resolved,4.4,No,Standard support request
